,teamId,playerId,playerName,min,xG,eventType,teamColor,match_id,isOwnGoal,x,y,situation,teamName
12258,1323940,558136,Karol Swiderski,53,0.1369977593421936,AttemptSaved,#333333,3787674,False,91.5,35.90625,RegularPlay,Charlotte FC
12302,1218886,510698,Sebastian Driussi,44,0.0985843539237976,Miss,#51B051,3787658,False,91.6999969482422,41.541250882148745,RegularPlay,Austin FC
12315,1218886,510698,Sebastian Driussi,81,0.7884,Goal,#51B051,3787658,False,94.0,34.0,Penalty,Austin FC
12401,867280,452368,Cristian Arango,6,0.2301181256771087,Miss,#000000,3787661,False,94.2894766272786,42.52406161785126,RegularPlay,Los Angeles FC
12402,915807,394462,Hany Mukhtar,8,0.0678451657295227,AttemptSaved,#1E1742,3787661,False,81.80922502006557,42.119375882148745,FreeKick,Nashville SC
12406,867280,452368,Cristian Arango,20,0.0425878763198852,AttemptSaved,#000000,3787661,False,77.52960993353443,36.2875,RegularPlay,Los Angeles FC
12411,867280,452368,Cristian Arango,30,0.0399600267410278,Miss,#000000,3787661,False,82.4849514568,26.516562941074373,RegularPlay,Los Angeles FC
12417,867280,452368,Cristian Arango,41,0.1484793126583099,AttemptSaved,#000000,3787661,False,91.5,36.44000058174134,FastBreak,Los Angeles FC
12419,867280,452368,Cristian Arango,45,0.7884,AttemptSaved,#000000,3787661,False,94.0,34.0,Penalty,Los Angeles FC
12421,867280,452368,Cristian Arango,47,0.2021877765655517,Miss,#000000,3787661,False,90.3000030517578,27.698572069232448,RegularPlay,Los Angeles FC
12422,867280,452368,Cristian Arango,48,0.3510652184486389,AttemptSaved,#000000,3787661,False,99.3070175438,30.95,RegularPlay,Los Angeles FC
12425,915807,394462,Hany Mukhtar,52,0.1843027472496032,AttemptSaved,#1E1742,3787661,False,91.5,37.65999941825866,RegularPlay,Nashville SC
12429,915807,394462,Hany Mukhtar,56,0.2659069299697876,AttemptSaved,#1E1742,3787661,False,98.6315818917786,36.44000058174134,RegularPlay,Nashville SC
12448,915807,394462,Hany Mukhtar,46,0.1709011793136596,AttemptSaved,#1E1742,4044408,False,97.0877163528214,18.88458545505643,RegularPlay,Nashville SC
12497,1218886,510698,Sebastian Driussi,31,0.2431592047214508,Goal,#51B051,4044409,False,98.3421052628,35.98249883651734,RegularPlay,Austin FC
12498,1218886,510698,Sebastian Driussi,35,0.0303210914134979,AttemptSaved,#51B051,4044409,False,81.02087035026886,39.545001283464885,RegularPlay,Austin FC
12509,1218886,510698,Sebastian Driussi,63,0.0166530013084411,AttemptSaved,#51B051,4044409,False,73.70048200226887,32.322499418258666,RegularPlay,Austin FC
12514,1218886,510698,Sebastian Driussi,76,0.0358749330043792,AttemptSaved,#51B051,4044409,False,85.49411437024823,40.46952381,RegularPlay,Austin FC
12517,1218886,510698,Sebastian Driussi,87,0.0369995236396789,Miss,#51B051,4044409,False,93.3000030517578,36.97375116348267,RegularPlay,Austin FC
12519,1218886,510698,Sebastian Driussi,90,0.7884,Goal,#51B051,4044409,False,94.0,34.0,Penalty,Austin FC
12521,1218886,510698,Sebastian Driussi,91,0.1264854669570922,AttemptSaved,#51B051,4044409,False,96.0263143160607,30.492501163482665,RegularPlay,Austin FC
12522,1218886,510698,Sebastian Driussi,93,0.0716930031776428,Miss,#51B051,4044409,False,85.81617647,31.10250058174133,RegularPlay,Austin FC
12527,1218886,510698,Sebastian Driussi,104,0.0573207736015319,AttemptSaved,#51B051,4044409,False,93.0999984741211,31.86500058174133,RegularPlay,Austin FC
12531,1218886,510698,Sebastian Driussi,109,0.2503837049007416,Post,#51B051,4044409,False,100.92241089949172,36.36374883651734,FromCorner,Austin FC
12533,1218886,510698,Sebastian Driussi,120,0.1773864328861236,AttemptSaved,#51B051,4044409,False,99.1140380322786,36.97375116348267,FromCorner,Austin FC
12534,1218886,510698,Sebastian Driussi,120,0.0402770340442657,Miss,#51B051,4044409,False,93.5999984741211,33.61875,RegularPlay,Austin FC
12536,1218886,510698,Sebastian Driussi,121,0.7884,Goal,#51B051,4044409,False,94.0,34.0,Penalty,Austin FC
12544,6603,792024,Jeremy Ebobisse,4,0.5383414626121521,Goal,#212123,3787663,False,95.4473684198,32.62750058174133,FastBreak,San Jose Earthquakes
