season,player,total_minutes_played,n_rage_fouls
2018,Michael Keane,3217,1
2018,Mohamed Salah,3451,1
2018,Abdoulaye Doucoure,3294,1
2018,Eric Dier,1610,1
2018,Andre Gomes,2138,1
2018,Ricardo Pereira,3350,1
2018,Luciano Vietto,1067,1
2018,DeAndre Yedlin,2717,1
2018,Jefferson Lerma,2711,1
2018,Alfie Mawson,1209,1
2018,Kadeem Harris,437,1
2018,Jean Michael Seri,2401,1
2018,Youri Tielemans,1147,1
2018,Joseph Gomez,1143,1
2018,Matt Targett,1275,1
2018,Josh Murphy,1950,1
2018,James Maddison,3058,1
2018,Victor Camarasa,2775,1
2018,Harry Winks,1733,1
2018,Ruben Neves,3247,1
2018,Aboubakar Kamara,745,1
2018,Lucas Torreira,2576,1
2018,Callum Paterson,2170,1
2018,Jonjoe Kenny,867,1
2018,Fabian Balbuena,2166,1
2018,Ben Chilwell,3482,1
2018,Marcus Rashford,2528,1
2018,Yves Bissouma,1914,1
2018,Miguel Almiron,814,1
2018,Trent Alexander-Arnold,2614,1
2018,Diego Rico,675,1
2018,Yan Valery,1890,1
2018,Aaron Wan-Bissaka,3395,1
2018,Juan Foyth,1004,1
2018,Ruben Vinagre,785,1
2018,Andre-Frank Zambo Anguissa,1650,1
2018,Callum Hudson-Odoi,432,1
2019,Alexander Tettey,2494,1
2019,Mesut Ozil,1528,1
2019,Theo Walcott,1374,1
2019,Shane Long,1515,1
2019,Adrian Mariappa,1700,1
2019,Phil Bardsley,2064,1
2019,Fernandinho,2632,1
2019,James McArthur,3317,1
2019,Mario Vrancic,720,1
2019,Ryan Bertrand,3083,1
2019,Andy Carroll,720,1
2019,Angelo Ogbonna,3024,1
2019,Danny Rose,1905,1
2019,Juan Mata,830,1
2019,Troy Deeney,2396,1
2019,Ryan Bennett,1029,1
2019,Dejan Lovren,846,1
2019,James McCarthy,1861,1
2019,Seamus Coleman,2049,1
2019,Henri Lansbury,227,1
2019,Chris Basham,3454,1
2019,Nemanja Matic,1725,1
2019,Jonjo Shelvey,2296,1
2019,Federico Fernandez,2857,1
2019,Cheikhou Kouyate,2727,1
2019,Jordan Ayew,3379,1
2019,Aaron Cresswell,2953,1
2019,Christian Benteke,1400,1
2019,Matt Ritchie,1431,1
2019,Jordan Henderson,2396,1
2019,Christian Eriksen,1229,1
2019,Michail Antonio,1911,1
2019,Cedric Soares,1677,1
2019,Ciaran Clark,1286,1
2019,Luka Milivojevic,2742,1
2019,Craig Dawson,2583,1
2019,Alexandre Lacazette,2038,1
2019,Kevin De Bruyne,3002,1
2019,Joel Matip,758,1
2019,Kevin Long,624,1
2019,Erik Lamela,1334,1
2019,Ilkay Gundogan,2211,1
2019,Patrick van Aanholt,2730,1
2019,Ashley Westwood,3424,1
2019,Lukas Rupp,737,1
2019,Fabian Schar,1813,1
2019,Harry Kane,2827,1
2019,Alex Oxlade-Chamberlain,1600,1
2019,Wilfried Zaha,3586,1
2019,Nathan Redmond,2990,1
2019,Lewis Dunk,3506,1
2019,Jeff Hendrick,2089,1
2019,Oliver Norwood,3302,1
2019,Martin Montoya,2038,1
2019,Ross Barkley,1192,1
2019,Stuart Armstrong,1881,1
2019,Ben Mee,3124,1
2019,Roberto Firmino,3174,1
2019,Raheem Sterling,2857,1
2019,Harry Maguire,3725,1
2019,Victor Lindelof,3362,1
2019,James Ward-Prowse,3739,1
2019,Kurt Zouma,2558,1
2019,Michael Keane,2801,1
2019,Bjorn Engels,1576,1
2019,Sead Kolasinac,1869,1
2019,Fred,2356,1
2019,Ondrej Duda,765,1
2019,Jonny,3136,1
2019,Luke Shaw,1875,1
2019,Sam Byram,1402,1
2019,Tyrone Mings,3160,1
2019,Hector Bellerin,1269,1
2019,James Tarkowski,3716,1
2019,Kortney Hause,1692,1
2019,George Baldock,3690,1
2019,Isaac Hayden,2461,1
2019,Dominic Solanke,1826,1
2019,Jan Bednarek,3333,1
2019,Matt Targett,2490,1
2019,Demarai Gray,728,1
2019,Adam Masina,2004,1
2019,Adama Traore,2834,1
2019,Dominic Calvert-Lewin,2863,1
2019,Philip Billing,2736,1
2019,Anwar El Ghazi,2207,1
2019,Diogo Jota,2439,1
2019,Ruben Neves,3317,1
2019,Andreas Pereira,1591,1
2019,Ben Godfrey,2884,1
2019,Mason Holgate,2240,1
2019,Ben Chilwell,2579,1
2019,James Justin,1124,1
2019,Christian Pulisic,1849,1
2019,Yves Bissouma,1361,1
2019,Giovani Lo Celso,1656,1
2019,Tom Davies,2205,1
2019,John McGinn,2510,1
2019,Trent Alexander-Arnold,3433,1
2019,Davinson Sanchez,2664,1
2019,Yan Valery,836,1
2019,Douglas Luiz,2862,1
2019,Pedro Neto,1077,1
2019,Todd Cantwell,2661,1
2019,Curtis Jones,146,1
2019,Dwight McNeil,3605,1
2019,Reece James,1664,1
2019,Max Aarons,3516,1
2019,Steven Alzate,1304,1
2019,Gabriel Martinelli,744,1
2019,Japhet Tanganga,566,1
2019,Brandon Williams,1099,1
2019,Tariq Lamptey,679,1
2020,Mark Noble,793,1
2020,Scott Dann,1448,1
2020,Billy Sharp,815,1
2020,Gareth Bale,993,1
2020,David McGoldrick,2577,1
2020,Andy Carroll,457,1
2020,Cesar Azpilicueta,2338,1
2020,David Luiz,1565,1
2020,Willian,1518,1
2020,Moussa Sissoko,1717,1
